gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
2843944954	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/162786660	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Ara	Ara ambiguus	ambiguus	SUBSPECIES	Ara ambiguus ambiguus	Ara ambiguus ambiguus		CR	Costa Rica - Tortuguero		PRESENT	55	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	10.543775	-83.503893	10.0						2018-06-07T00:00:00	7	6	2018	6170723	5959233	HUMAN_OBSERVATION		Observations	OBS.162786660				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-09-05T06:45:09.254Z		COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
2843731131	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/133097542	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Ara	Ara ambiguus		SPECIES	Ara ambiguus (Bechstein, 1811)	Ara ambiguus		CR	Costa Rica - Sarapiquí		PRESENT	1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	10.416308	-84.11276	25.0						2016-12-26T00:00:00	26	12	2016	5959233	5959233	HUMAN_OBSERVATION		Observations	OBS.133097542				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-09-05T06:45:13.445Z		COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
2843619637	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/183478181	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Ara	Ara ambiguus		SPECIES	Ara ambiguus (Bechstein, 1811)	Ara ambiguus		CR	Costa Rica - Sarapiquí		PRESENT	1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	10.438866	-84.008876	5.0						2019-12-24T00:00:00	24	12	2019	5959233	5959233	HUMAN_OBSERVATION		Observations	OBS.183478181				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-09-05T06:45:19.997Z		COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
2843604531	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/156039592	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Ara	Ara ambiguus		SPECIES	Ara ambiguus (Bechstein, 1811)	Ara ambiguus		CR	Costa Rica - Tortuguero NP		PRESENT	2	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	10.427271	-83.452864	100.0						2018-04-18T00:00:00	18	4	2018	5959233	5959233	HUMAN_OBSERVATION		Observations	OBS.156039592				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-09-05T06:45:21.497Z	StillImage	COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
2843599973	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/149320652	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Ara	Ara ambiguus		SPECIES	Ara ambiguus (Bechstein, 1811)	Ara ambiguus		CR	Costa Rica - San Carlos		PRESENT	4	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	10.68697	-84.180492	25.0						2018-03-04T00:00:00	4	3	2018	5959233	5959233	HUMAN_OBSERVATION		Observations	OBS.149320652				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-09-05T06:45:08.165Z	StillImage	COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
2843544486	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/161329848	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Ara	Ara ambiguus		SPECIES	Ara ambiguus (Bechstein, 1811)	Ara ambiguus		CR	Costa Rica - Sarapiquí		PRESENT	1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	10.438232	-84.002294	100.0						2018-07-27T00:00:00	27	7	2018	5959233	5959233	HUMAN_OBSERVATION		Observations	OBS.161329848				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-09-05T06:45:16.537Z		COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
2843424975	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/133600345	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Ara	Ara ambiguus		SPECIES	Ara ambiguus (Bechstein, 1811)	Ara ambiguus		CR	Costa Rica - Pococí		PRESENT	2	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	10.582035	-83.529413	1000.0						2017-01-12T00:00:00	12	1	2017	5959233	5959233	HUMAN_OBSERVATION		Observations	OBS.133600345				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-09-05T06:45:28.625Z	StillImage	COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
2843423778	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/76980268	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Ara	Ara ambiguus		SPECIES	Ara ambiguus (Bechstein, 1811)	Ara ambiguus		CR	Costa Rica - Pococí		PRESENT	5	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	10.594471	-83.526534	100.0						2013-06-19T00:00:00	19	6	2013	5959233	5959233	HUMAN_OBSERVATION		Observations	OBS.76980268				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-09-05T06:45:28.851Z		COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
2843131932	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/185291698	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Ara	Ara ambiguus		SPECIES	Ara ambiguus (Bechstein, 1811)	Ara ambiguus		CR	Costa Rica - Tortuguero		PRESENT	10	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	10.542637	-83.502277	25.0						2020-02-08T00:00:00	8	2	2020	5959233	5959233	HUMAN_OBSERVATION		Observations	OBS.185291698				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-09-05T06:45:22.397Z		COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
2842754766	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/136679635	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Ara	Ara ambiguus		SPECIES	Ara ambiguus (Bechstein, 1811)	Ara ambiguus		CR	Costa Rica - Pococí		PRESENT	8	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	10.577828	-83.523374	100.0						2016-04-08T00:00:00	8	4	2016	5959233	5959233	HUMAN_OBSERVATION		Observations	OBS.136679635				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-09-05T06:45:07.352Z		COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
2842597916	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/176253979	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Ara	Ara ambiguus		SPECIES	Ara ambiguus (Bechstein, 1811)	Ara ambiguus		CR	Costa Rica - Tortuguero		PRESENT	1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	10.540101	-83.502572	10.0						2019-06-26T00:00:00	26	6	2019	5959233	5959233	HUMAN_OBSERVATION		Observations	OBS.176253979				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-09-05T06:45:23.587Z		COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
2842168295	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/136027957	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Ara	Ara ambiguus		SPECIES	Ara ambiguus (Bechstein, 1811)	Ara ambiguus		CR	Costa Rica - Tortuguero		PRESENT	11	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	10.546852	-83.505133	25.0						2017-03-30T00:00:00	30	3	2017	5959233	5959233	HUMAN_OBSERVATION		Observations	OBS.136027957				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-09-05T06:45:05.627Z		COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
2842060244	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/121309056	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Ara	Ara ambiguus		SPECIES	Ara ambiguus (Bechstein, 1811)	Ara ambiguus		CR	Costa Rica - Tortuguero		PRESENT	12	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	10.5471	-83.5048	30.0						2016-07-12T00:00:00	12	7	2016	5959233	5959233	HUMAN_OBSERVATION		Observations	OBS.121309056				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-09-05T06:45:22.048Z		OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
2842027971	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/171063255	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Ara	Ara ambiguus		SPECIES	Ara ambiguus (Bechstein, 1811)	Ara ambiguus		CR	Costa Rica - Sarapiquí		PRESENT	2	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	10.45556	-84.001543	10.0						2019-03-15T00:00:00	15	3	2019	5959233	5959233	HUMAN_OBSERVATION		Observations	OBS.171063255				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-09-05T06:45:51.137Z		COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
